[20:39:00] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[20:39:01] [ServerMain/INFO]: Loaded 7 recipes
[20:39:01] [ServerMain/INFO]: Loaded 1271 advancements
[20:39:01] [Server thread/INFO]: Starting minecraft server version 1.20.1
[20:39:01] [Server thread/INFO]: Loading properties
[20:39:01] [Server thread/INFO]: Default game type: SURVIVAL
[20:39:01] [Server thread/INFO]: Generating keypair
[20:39:02] [Server thread/INFO]: Starting Minecraft server on *:25565
[20:39:02] [Server thread/INFO]: Using epoll channel type
[20:39:02] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[20:39:02] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[20:39:02] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[20:39:02] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[20:39:02] [Server thread/INFO]: Preparing level "world"
[20:39:07] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[20:39:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:39:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[20:39:09] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:39:09] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:39:10] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[20:39:10] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[20:39:10] [Worker-Main-3/INFO]: Preparing spawn area: 2%
[20:39:11] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[20:39:11] [Worker-Main-1/INFO]: Preparing spawn area: 3%
[20:39:12] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[20:39:12] [Worker-Main-3/INFO]: Preparing spawn area: 6%
[20:39:13] [Worker-Main-3/INFO]: Preparing spawn area: 7%
[20:39:13] [Worker-Main-3/INFO]: Preparing spawn area: 8%
[20:39:14] [Worker-Main-1/INFO]: Preparing spawn area: 9%
[20:39:14] [Worker-Main-3/INFO]: Preparing spawn area: 10%
[20:39:15] [Worker-Main-3/INFO]: Preparing spawn area: 12%
[20:39:15] [Worker-Main-3/INFO]: Preparing spawn area: 13%
[20:39:16] [Worker-Main-1/INFO]: Preparing spawn area: 15%
[20:39:16] [Worker-Main-3/INFO]: Preparing spawn area: 16%
[20:39:17] [Worker-Main-3/INFO]: Preparing spawn area: 18%
[20:39:17] [Worker-Main-1/INFO]: Preparing spawn area: 20%
[20:39:18] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[20:39:18] [Worker-Main-3/INFO]: Preparing spawn area: 24%
[20:39:19] [Worker-Main-3/INFO]: Preparing spawn area: 25%
[20:39:19] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[20:39:20] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[20:39:20] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[20:39:21] [Worker-Main-3/INFO]: Preparing spawn area: 34%
[20:39:21] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[20:39:22] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[20:39:22] [Worker-Main-1/INFO]: Preparing spawn area: 39%
[20:39:23] [Worker-Main-1/INFO]: Preparing spawn area: 41%
[20:39:23] [Worker-Main-3/INFO]: Preparing spawn area: 43%
[20:39:24] [Worker-Main-3/INFO]: Preparing spawn area: 44%
[20:39:24] [Worker-Main-3/INFO]: Preparing spawn area: 47%
[20:39:25] [Worker-Main-3/INFO]: Preparing spawn area: 49%
[20:39:25] [Worker-Main-3/INFO]: Preparing spawn area: 51%
[20:39:26] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[20:39:26] [Worker-Main-1/INFO]: Preparing spawn area: 56%
[20:39:27] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[20:39:27] [Worker-Main-1/INFO]: Preparing spawn area: 61%
[20:39:28] [Worker-Main-3/INFO]: Preparing spawn area: 64%
[20:39:28] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[20:39:29] [Worker-Main-1/INFO]: Preparing spawn area: 69%
[20:39:29] [Worker-Main-1/INFO]: Preparing spawn area: 71%
[20:39:30] [Worker-Main-1/INFO]: Preparing spawn area: 74%
[20:39:30] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[20:39:31] [Worker-Main-1/INFO]: Preparing spawn area: 78%
[20:39:31] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[20:39:32] [Worker-Main-1/INFO]: Preparing spawn area: 84%
[20:39:32] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[20:39:33] [Worker-Main-2/INFO]: Preparing spawn area: 89%
[20:39:33] [Worker-Main-1/INFO]: Preparing spawn area: 92%
[20:39:34] [Worker-Main-1/INFO]: Preparing spawn area: 96%
[20:39:34] [Server thread/INFO]: Time elapsed: 26953 ms
[20:39:34] [Server thread/INFO]: Done (32.591s)! For help, type "help"
